RSTRNT_ID,RSTRNT_CTGRY_NM,RSTRNT_NM,RSTRNT_ROAD_NM_ADDR,RSTRNT_LNM_ADDR,RSTRNT_TEL_NO,RESVE_POSBL_AT,SLE_VGTR_MENU_INFO_DC,RSTRNT_LA,RSTRNT_LO
982477,피자,캘리포니아피자키친 대구신세계점,대구광역시 동구 동부로 149 신세계백화점 9층,대구광역시 동구 신천동 1506,50713086971,Y,"내 마음을 알아주는 내맘피자,살몬 컬리라이스 볼,소이미트 크런치 볼,언트레디셔널 치즈 피자,캘리포니아 선샤인,튜나 타다끼 컬리라이스 볼,포켓 화이타",35.8777043,128.6291671
370039,"카페,디저트",슬로우스테디,경상남도 함안군 가야읍 성내남길 55 슬로우스테디,경상남도 함안군 가야읍 도항리 339-1,1030759317,N,"딸기라떼,레몬에이드,마카다미아 쿠키,모과 얼그레이 티,무화과스콘,베리 리치 주스,살구 쿠키,쑥라떼,아메리카노,아몬드쿠키,오트베리스무디,차이티라떼,초코아몬드쿠키,초코칩 쿠키,타르트,",35.273352,128.3975883
396860,채식,날일달월,서울특별시 광진구 구의강변로 57 서림빌딩 3층,서울특별시 광진구 구의동 587-62,24570102,N,"ARAMIS 와인(병),MADIRAN 와인(병),녹즙 아침 진지,생강차,생과일 쥬스,생채식 진지,아티커피,오행현미죽 진지,유기농사과즙, 유기농포도즙,함씨네 토종콩물",37.5359253,127.0920863
992376,중식,비건반점,서울특별시 은평구 연서로17길 18-6,서울특별시 은평구 갈현동 467-1,230011876,N,비건볶음짜장,37.6132852,126.9162262
994172,샐러드,잇샐러드 더현대서울점,서울특별시 영등포구 여의대로 108 더현대서울 지하2층,서울특별시 영등포구 여의도동 22 더현대서울 지하2층,232770894,N,"FOUR SEASONS,REFRESH,VEGAN LIFE,YANGYANG POKE",37.5259168,126.9283122
996105,베이커리,해밀 비건베이커리,서울특별시 마포구 동교로19길 101 1층,서울특별시 마포구 성산동 239-24 1층,7076550723,N,"맛있는 비건빵,아메리카노",37.5596505,126.9159646
1000270,이탈리아음식,마히나 비건 테이블,서울특별시 강남구 논현로175길 75 2층,서울특별시 강남구 신사동 547-5,50713715331,Y,"그릴드 파인애플 버거 Grilled Pineapple Burger,그릴드 파인애플 피자 Grilled Pineapple Pizza,뉴욕 치즈 케이크와 유기농 크랜베리 콩포트,두부 ",37.4852809,127.0418104
455674,샐러드,잠백이샐러드 본점,서울특별시 송파구 송파대로49길 50 B동 203호,서울특별시 송파구 석촌동 24-14 B동 203호,7088227771,N,"PP DRINK - 레몬에이드,PP DRINK - 아메리카노,PP DRINK - 아이스아메리카노,PP DRINK - 자몽에이드,PP ENERGY - 그린애플치아씨드,PP ENERG",37.5062774,127.0993879
1002558,샐러드,잇샐러드 용산아이파크몰점,서울특별시 용산구 한강대로23길 55 아이파크몰 7층,서울특별시 용산구 한강로3가 40-999 아이파크몰 7층,220121751,N,"four season s,REFRESH,STRESS RELEASE,YANGYANG POKE",37.5297718,126.9647415
481127,샐러드 뷔페,후레쉬 초이스,경기도 시흥시 마유로423번길 24-9 1층,경기도 시흥시 정왕동 2293-2,313655161,N,"김치류,샐러드",37.3542209,126.7389689
489345,샐러드,채식카페제주작은부엌,제주특별자치도 제주시 조천읍 선흘동2길 1,제주특별자치도 제주시 조천읍 선흘리 1123,1046993179,N,비건채식풀코스,33.5116944,126.7059002
491597,샐러드,스톡홀름 샐러드,대구광역시 동구 경대로 80 1층,대구광역시 동구 신암동 687,1076141518,N,"오렌지에이드,직접볶아내린라떼,직접볶아내린커피,청포도케일쥬스,토마토쥬스",35.8877349,128.6163751
525849,샐러드뷔페,러빙헛 서신점,전라북도 전주시 완산구 감나무로 61-13,전라북도 전주시 완산구 서신동 791-3,632248929,N,"도시락 포장,비건뷔페(중학생이상),비건뷔페(초등학생),책식뷔페",35.8317602,127.1184157
1,채식,비건키친,서울특별시 중구 퇴계로20길 21 1층,서울특별시 중구 남산동2가 15-11,7778819,N,"아보카도 poke, 치킨 poke, 돈가스 poke, 불고기 머쉬룸 poke, 가든 salad, 아보카도 자몽 salad, 비프 tortilla",37.5592406,126.985968
2,한식,꽃밥에피다,서울특별시 종로구 인사동16길 3-6,서울특별시 종로구 관훈동 118-27,50713620276,N,(비건코스) 여름스페셜 비건 풀코스,37.5752599,126.983995
3,한식,꽃밥에피다 북촌 친환경 그로서란트,서울특별시 종로구 북촌로 39 1층,서울특별시 종로구 가회동 170-4,50713516272,N,"고상한 나물비빔밥 한상, 채식 육개장 한상, 채소가득 비빔밥 한상",37.5803146,126.984741
